City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,kogalym,62.2654,74.4791,-1.089999999999975,46,79,3.72,RU,18000
159,draganesti,45.7833,27.4667,12.330000000000041,52,74,1.86,RO,10800
160,tinajo,29.0788,-13.7081,17.49000000000001,82,20,6.69,ES,3600
161,samokov,42.3333,23.55,5.3799999999999955,98,100,0.87,BG,10800
162,callao,-12.0667,-77.15,22.160000000000025,73,100,4.63,PE,-18000
163,kill devil hills,36.0307,-75.676,19.430000000000007,76,0,5.14,US,-14400
164,isangel,-19.55,169.2667,26.060000000000002,89,100,0.0,VU,39600
165,bethel,41.3712,-73.414,15.400000000000034,76,0,1.54,US,-14400
166,saipan,15.1355,145.701,33.39000000000004,100,40,3.58,MP,36000
167,isafjordur,66.0755,-23.124,4.980000000000018,97,100,2.5,IS,0
168,loango,-4.6719,11.8312,26.810000000000002,94,75,1.54,CG,3600
169,keflavik,64.0049,-22.5624,6.9500000000000455,100,100,2.57,IS,0
170,utrik,11.2278,169.8474,27.410000000000025,83,90,7.15,MH,43200
171,afaahiti,-17.75,-149.2833,25.590000000000032,95,100,8.17,PF,-36000
172,sharjah,25.3573,55.4033,34.160000000000025,20,0,2.57,AE,14400
173,north elba,44.2434,-73.9543,10.550000000000011,81,89,2.52,US,-14400
174,afua,-0.1567,-50.3867,23.58000000000004,95,92,0.31,BR,-10800
175,nuku'alofa,-21.1333,-175.2,26.189999999999998,83,20,1.54,TO,46800
176,okahao,-17.885,15.0667,19.090000000000032,36,68,1.07,NA,7200
177,vorgashor,67.5833,63.95,-4.1200000000000045,83,15,3.83,RU,10800
178,copiapo,-27.3667,-70.3333,11.830000000000041,63,1,0.6,CL,-14400
179,mirandopolis,-21.1336,-51.1017,13.220000000000027,82,73,2.37,BR,-10800
180,guapiles,10.2159,-83.7866,27.129999999999995,94,14,1.18,CR,-21600
181,ixtapa,20.7,-105.2,24.57000000000005,78,0,0.0,MX,-21600
182,weno,7.4515,151.8468,30.970000000000027,74,75,2.57,FM,36000
183,santa ines,-3.6667,-45.38,22.700000000000045,98,96,1.12,BR,-10800
184,ahfir,34.9537,-2.1003,16.340000000000032,89,100,0.9,MA,3600
185,laojunmiao,39.8333,97.7333,18.25,9,1,4.44,CN,28800
186,shingu,33.7333,135.9833,20.230000000000018,52,49,1.72,JP,32400
187,jinxiang,27.4327,120.6062,19.960000000000036,65,93,2.27,CN,28800
188,ancud,-41.8697,-73.8203,12.230000000000018,97,100,1.91,CL,-14400
189,colombo,6.9319,79.8478,30.970000000000027,80,69,6.34,LK,19800
190,port alfred,-33.5906,26.891,14.54000000000002,98,100,2.24,ZA,7200
191,itamaraca,-7.7478,-34.8256,28.03000000000003,80,22,2.28,BR,-10800
192,altai,46.3722,96.2583,13.629999999999995,24,32,6.58,MN,25200
193,kone,-21.0595,164.8658,24.170000000000016,68,100,2.88,NC,39600
194,lieksa,63.3167,30.0167,8.79000000000002,61,11,2.78,FI,10800
195,kapuskasing,49.4169,-82.4331,13.050000000000011,87,0,4.12,CA,-14400
196,san rafael del norte,13.2125,-86.1106,19.860000000000014,88,100,1.19,NI,-21600
197,crane,31.3974,-102.3501,22.810000000000002,13,1,0.98,US,-18000
198,boca suno,-0.7167,-77.1333,21.189999999999998,99,78,0.89,EC,-18000
199,daru,-9.0763,143.2092,26.58000000000004,90,100,5.84,PG,36000
200,nadym,65.5333,72.5167,-6.060000000000002,70,52,2.47,RU,18000
201,saint-philippe,-21.3585,55.7679,26.77000000000004,75,96,5.09,RE,14400
202,carnarvon,-24.8667,113.6333,24.840000000000032,56,0,5.3,AU,28800
203,lagos,6.5833,3.75,27.180000000000007,89,29,0.12,NG,3600
204,luderitz,-26.6481,15.1594,14.210000000000036,75,100,11.94,NA,7200
205,aykhal,66.0,111.5,1.080000000000041,100,100,7.65,RU,32400
206,jamestown,42.097,-79.2353,14.800000000000011,72,0,1.54,US,-14400
207,tabou,4.423,-7.3528,26.99000000000001,85,97,2.19,CI,0
208,eyl,7.9803,49.8164,30.720000000000027,62,98,7.08,SO,10800
209,monrovia,6.3005,-10.7969,24.870000000000005,84,100,0.86,LR,0
210,kavaratti,10.5669,72.642,29.54000000000002,65,99,2.06,IN,19800
211,nar'yan-mar,67.6713,53.087,0.910000000000025,100,100,2.22,RU,10800
212,tura,25.5198,90.2201,36.34000000000003,24,76,1.61,IN,19800
213,kodiak,57.79,-152.4072,5.730000000000018,87,100,6.17,US,-28800
214,petropavlovsk-kamchatsky,53.0452,158.6483,5.330000000000041,70,75,2.0,RU,43200
215,wang saphung,17.301,101.7685,31.010000000000048,66,75,1.03,TH,25200
216,pandan,14.0453,124.1694,28.80000000000001,67,33,4.17,PH,28800
217,rada tilly,-45.9333,-67.5333,16.27000000000004,44,0,8.23,AR,-10800
218,new norfolk,-42.7826,147.0587,16.720000000000027,54,54,1.79,AU,36000
219,vaggeryd,57.4981,14.1484,11.760000000000048,46,11,2.21,SE,7200
220,vila velha,-20.3297,-40.2925,22.970000000000027,96,75,2.06,BR,-10800
221,osinovo,55.8809,48.881,17.05000000000001,57,86,4.66,RU,10800
222,barabai,-2.5833,115.3833,35.700000000000045,46,76,0.84,ID,28800
223,usinsk,65.9939,57.5281,0.4800000000000182,100,100,6.14,RU,10800
224,bahia honda,22.9036,-83.1592,24.860000000000014,85,45,3.59,CU,-14400
225,faya-largeau,17.9257,19.1043,29.090000000000032,21,87,9.91,TD,3600
226,coyhaique,-45.5752,-72.0662,9.970000000000027,87,100,3.09,CL,-14400
227,noosa heads,-26.3833,153.15,22.840000000000032,61,3,7.23,AU,36000
228,noumea,-22.2763,166.4572,24.439999999999998,99,96,6.65,NC,39600
229,akureyri,65.6835,-18.0878,9.960000000000036,66,75,2.57,IS,0
230,kodinsk,58.6881,99.1844,13.230000000000018,29,100,1.92,RU,25200
231,mount isa,-20.7333,139.5,28.870000000000005,24,0,4.63,AU,36000
232,kalaoa,19.7286,-155.9817,23.110000000000014,85,20,3.6,US,-36000
233,punta arenas,-53.15,-70.9167,7.060000000000002,65,20,8.23,CL,-10800
234,buturlinovka,50.8239,40.6092,11.840000000000032,72,90,3.75,RU,10800
235,berdigestyakh,62.0989,126.6992,6.060000000000002,37,100,2.43,RU,32400
236,puerto deseado,-47.7503,-65.8938,12.420000000000016,52,100,6.83,AR,-10800
237,chyhyryn,49.0838,32.6555,12.720000000000027,65,1,3.05,UA,10800
238,sitangkai,4.6628,119.3928,29.210000000000036,69,32,1.13,PH,28800
239,broken hill,-31.95,141.4333,20.170000000000016,24,62,2.75,AU,34200
240,san pedro buenavista,16.0833,-93.1167,21.670000000000016,92,84,0.94,MX,-21600
241,amga,60.8953,131.9608,6.1200000000000045,41,100,2.57,RU,32400
242,nova vicosa,-17.8919,-39.3719,24.010000000000048,84,96,1.9,BR,-10800
243,ardakan,32.31,54.0175,28.970000000000027,16,66,3.9,IR,12600
244,hadibu,12.65,54.0333,29.730000000000018,64,100,0.89,YE,10800
245,carbonear,47.7332,-53.2148,2.640000000000043,75,39,2.22,CA,-9000
246,nova sintra,14.8667,-24.7167,19.480000000000018,84,22,8.58,CV,-3600
247,la'ie,21.6477,-157.9253,24.5,74,38,2.24,US,-36000
248,tshela,-4.9833,12.9333,23.870000000000005,98,100,0.29,CD,3600
249,gubkinskiy,64.434,76.5026,-6.639999999999986,72,96,4.08,RU,18000
250,axim,4.8699,-2.2405,26.910000000000025,83,100,1.69,GH,0
251,jincheng,35.5022,112.8328,26.860000000000014,17,13,6.59,CN,28800
252,carahue,-38.7,-73.1667,13.29000000000002,85,100,0.91,CL,-14400
253,verkhnedneprovskiy,54.9813,33.3457,14.03000000000003,59,33,3.24,RU,10800
254,lindi,-10.0,39.7167,25.450000000000045,85,28,2.4,TZ,10800
255,arvayheer,46.2639,102.775,15.200000000000045,20,96,2.88,MN,28800
256,newman,37.3138,-121.0208,17.360000000000014,78,1,0.89,US,-25200
257,woolgoolga,-30.1106,153.2007,21.689999999999998,66,15,3.71,AU,36000
258,svetlyy,54.675,20.1347,12.03000000000003,65,4,4.45,RU,7200
259,arkhipo-osipovka,44.37,38.52,13.580000000000041,56,13,6.87,RU,10800
260,harper,4.375,-7.7169,27.05000000000001,84,99,2.05,LR,0
261,sulak,43.2734,47.5146,14.590000000000032,57,99,0.38,RU,10800
262,selfoss,63.9331,-20.9971,9.470000000000027,98,100,6.55,IS,0
263,alto araguaia,-17.3147,-53.2153,17.480000000000018,93,40,2.5,BR,-14400
264,dryden,49.7833,-92.7503,12.160000000000025,87,75,1.54,CA,-18000
265,jishu,44.3167,126.8,20.590000000000032,33,100,6.74,CN,28800
266,"laikit, laikit ii (dimembe)",1.4792,124.9735,30.470000000000027,58,40,4.63,ID,28800
267,lagunas,-5.2269,-75.6753,21.950000000000045,99,46,0.57,PE,-18000
268,puerto armuelles,8.2833,-82.8667,26.220000000000027,87,56,1.75,PA,-18000
269,port saint john's,-31.6229,29.5448,20.220000000000027,74,100,5.58,ZA,7200
270,fisterra,42.9049,-9.2629,12.640000000000043,79,33,7.18,ES,7200
271,portland,45.5234,-122.6762,18.32000000000005,67,65,0.89,US,-25200
272,fatehabad,29.5167,75.45,41.32000000000005,6,3,3.81,IN,19800
273,bo phloi,14.3236,99.5161,35.39000000000004,40,84,4.57,TH,25200
274,vadso,70.0744,29.7487,7.490000000000009,93,75,7.2,NO,7200
275,eraan,9.0629,117.7016,32.400000000000034,59,100,1.78,PH,28800
276,al hilaliyya,14.9398,33.234,35.57000000000005,8,30,3.48,SD,7200
277,as sulayyil,20.4607,45.5779,31.140000000000043,16,0,4.87,SA,10800
278,owen sound,44.5672,-80.9435,13.830000000000041,76,43,0.89,CA,-14400
279,saldanha,-33.0117,17.9442,11.03000000000003,72,19,13.97,ZA,7200
280,traverse city,44.7631,-85.6206,14.04000000000002,76,0,0.0,US,-14400
281,kitimat,54.0524,-128.6534,15.210000000000036,66,100,1.91,CA,-25200
282,garhi khairo,28.0606,67.9803,43.629999999999995,5,0,1.25,PK,18000
283,atafu village,-8.5421,-172.5159,28.590000000000032,78,49,5.3,TK,46800
284,hithadhoo,-0.6,73.0833,28.57000000000005,75,100,7.25,MV,18000
285,east end,34.5507,-92.341,21.49000000000001,88,98,2.64,US,-18000
286,jiangyou,31.7667,104.7167,27.960000000000036,27,44,2.64,CN,28800
287,carutapera,-1.195,-46.02,24.470000000000027,92,34,1.66,BR,-10800
288,balikpapan,-1.2675,116.8289,31.55000000000001,70,20,1.54,ID,28800
289,kingsland,30.8,-81.6898,23.870000000000005,94,100,1.45,US,-14400
290,aasiaat,68.7098,-52.8699,-4.399999999999977,94,100,3.3,GL,-7200
291,rio grande,-32.035,-52.0986,11.490000000000009,74,38,1.26,BR,-10800
292,constantia,44.1833,28.65,11.5,60,77,6.72,RO,10800
293,nieuw amsterdam,5.8833,-55.0833,24.450000000000045,92,96,2.68,SR,-10800
294,malanje,-9.5402,16.341,15.29000000000002,71,1,1.72,AO,3600
295,colon,9.3592,-79.9014,27.420000000000016,82,30,3.96,PA,-18000
296,prainha,-1.8,-53.48,22.960000000000036,98,100,0.81,BR,-10800
297,sterlibashevo,53.4376,55.2578,7.720000000000027,95,100,7.55,RU,18000
298,businga,3.3333,20.8833,24.30000000000001,85,49,1.22,CD,3600
299,tanushimarumachi-toyoki,33.35,130.6833,27.730000000000018,8,100,2.09,JP,32400
300,khandyga,62.6667,135.6,5.7900000000000205,57,100,3.05,RU,32400
301,chesma,53.8111,60.6533,11.400000000000034,50,100,3.64,RU,18000
302,krasnogorskoye,52.2953,86.1979,12.020000000000039,66,100,4.29,RU,25200
303,pechora,65.1472,57.2244,1.3500000000000227,99,100,5.69,RU,10800
304,thinadhoo,0.5333,72.9333,27.930000000000007,81,98,6.54,MV,18000
305,mandapam,9.2833,79.1167,31.32000000000005,71,100,8.13,IN,19800
306,kani keli,-12.9536,45.1033,27.590000000000032,71,41,2.27,YT,10800
307,meadow lake,34.8014,-106.5436,17.710000000000036,49,6,4.18,US,-21600
308,ma'an,26.9775,110.7211,22.950000000000045,64,64,2.1,CN,28800
309,ciudad lazaro cardenas,17.9583,-102.2,26.700000000000045,76,97,2.33,MX,-21600
310,almeirim,-1.5233,-52.5817,23.180000000000007,97,100,1.12,BR,-10800
311,geraldton,-28.7667,114.6,25.230000000000018,44,39,6.69,AU,28800
312,benjamin constant,-4.3831,-70.0311,23.07000000000005,100,98,0.24,BR,-18000
313,idabel,33.8957,-94.8263,23.970000000000027,94,100,5.14,US,-18000
314,broome,42.2506,-75.833,15.360000000000014,79,26,1.23,US,-14400
315,flying fish cove,-10.4217,105.6791,27.82000000000005,89,100,5.66,CX,25200
316,jayapura,-2.5333,140.7,34.660000000000025,74,96,2.85,ID,32400
317,volda,62.1476,6.0741,10.370000000000005,93,75,0.0,NO,7200
318,am timan,11.0297,20.2827,29.03000000000003,53,90,2.84,TD,3600
319,lorengau,-2.0226,147.2712,28.350000000000023,81,100,2.39,PG,36000
320,bukama,-9.2,25.85,21.170000000000016,65,4,0.99,CD,7200
321,tulum,20.2167,-87.4667,25.960000000000036,91,14,3.17,MX,-18000
322,gutierrez zamora,20.45,-97.0833,25.640000000000043,97,21,2.26,MX,-21600
323,cadale,2.7603,46.3222,28.810000000000002,72,50,8.1,SO,10800
324,illizi,26.4833,8.4667,21.890000000000043,19,96,3.75,DZ,3600
